NoJI,Mesin,Tanggal SUP,,
2685A 3F,CERUTI.1                                          ,6/22/2021,,CERUTI.1
5418 2B,CERUTI.2                                          ,6/22/2021,,CERUTI.2
5414 2B,CERUTI.2                                          ,6/22/2021,,CERUTI.2
6393 0A,CERUTI.1                                          ,6/22/2021,,CERUTI.1
6884 0B,CERUTI.1                                          ,6/22/2021,,CERUTI.1
6744 0A,CERUTI.1                                          ,6/23/2021,,CERUTI.1
1660 11Q,CERUTI.2                                          ,6/23/2021,,CERUTI.2
3088 6M,CERUTI.3                                          ,6/23/2021,,CERUTI.3
4922 0E,CERUTI.1                                          ,6/23/2021,,CERUTI.1
5687 0A,CERUTI.1                                          ,6/23/2021,,CERUTI.1
2453 10N,CERUTI.2                                          ,6/23/2021,,CERUTI.2
7532 0B,CERUTI.3                                          ,6/24/2021,,CERUTI.3
7456A 0A,CERUTI.2                                          ,6/24/2021,,CERUTI.2
7641 0A,CERUTI.1                                          ,6/24/2021,,CERUTI.1
7295 1B,CERUTI.1                                          ,6/24/2021,,CERUTI.1
2776 2G,CERUTI.2                                          ,6/24/2021,,CERUTI.2
1046 3I,CERUTI.2                                          ,6/24/2021,,CERUTI.2
6623 1D,CERUTI.1                                          ,6/24/2021,,CERUTI.1
4507 2F,CERUTI.1                                          ,6/25/2021,,CERUTI.1
6970 1A,CERUTI.1                                          ,6/25/2021,,CERUTI.1
7638 0A,CERUTI.2                                          ,6/25/2021,,CERUTI.2
7272A 0A,CERUTI.1                                          ,6/25/2021,,CERUTI.1
6262 1C,CERUTI.3                                          ,6/25/2021,,CERUTI.3
7599A 0A,CERUTI.1                                          ,6/25/2021,,CERUTI.1
7627 0A,CERUTI.5,6/25/2021,,CERUTI.5
5298 1E,CERUTI.2                                          ,6/25/2021,,CERUTI.2
5297 1E,CERUTI.2                                          ,6/26/2021,,CERUTI.2
2578 5I,CERUTI.1                                          ,6/26/2021,,CERUTI.1
3282 6L,CERUTI.1                                          ,6/27/2021,,CERUTI.1
7631 0A,CERUTI.2                                          ,6/28/2021,,CERUTI.2
6746A 1C,CERUTI.1                                          ,6/28/2021,,CERUTI.1
5384 1E,CERUTI.2                                          ,6/28/2021,,CERUTI.2
7634 0A,CERUTI.2                                          ,6/29/2021,,CERUTI.2
6047A 4B,CERUTI.5,6/29/2021,,CERUTI.5
7511 0A,CERUTI.1                                          ,6/29/2021,,CERUTI.1
5069A 0A,CERUTI.1                                          ,6/29/2021,,CERUTI.1
4130 2D,CERUTI.2                                          ,6/29/2021,,CERUTI.2
5547 0A,CERUTI.2                                          ,6/30/2021,,CERUTI.2
7048 0A,CERUTI.1                                          ,6/30/2021,,CERUTI.1
7633 0A,CERUTI.1                                          ,6/30/2021,,CERUTI.1
6735 0B,CERUTI.2                                          ,6/30/2021,,CERUTI.2
