Artikel,Customer,JmlhWrna,JnsCtk,JnsBhn,Tebal (mic),Lebar (mm)
BAG BERAS ANAK RAJA 2KG                           ,,1,REVERSE,NY-01,15.00,800.00
KTG SP 360 LYCHEE ND 4000519                      ,,8,REVERSE,NY-01,15.00,770.00
LMNT DETOL GR LHW GRAP500ML(3151251)SPOT          ,,8,REVERSE,PET-G,12.00,1020.00
C06722 AL FOIL TOM 8GR 12UP                       ,,7,REVERSE,PET-G,9.00,960.00
C06661 AL FOIL SAM EP 18GR 8UP                    ,,7,REVERSE,PET-G,9.00,1120.00
DAHLIA K316 LEMON (AY)                            ,,8,REVERSE,PET-G,12.00,750.00
C06723 AL FOIL TOM 8GR 12UP NONSPLIT              ,,7,REVERSE,PET,9.00,960.00
67571542 ROLL ROYCO AYAM JAYA UNICODE             ,,8,REVERSE,PET-G,9.00,1170.00
67571545 ROLL ROYCO SAPI 1KG UNICODE REV BPOM     ,,8,REVERSE,PET-G,9.00,1170.00
KTG SP 360 STRAWBERRY ND 4000021                  ,,8,REVERSE,NY-01,15.00,770.00
6029045 ROLL INNER TERASI CITRA REV               ,,7,REVERSE,OPP - G,20.00,1150.00
BAG FANCY 9 STAR RATED HERBAL 450GR               ,,7,REVERSE,OPP - G,20.00,1060.00
C06666 AL FOIL SAMS 18GR 8UP                      ,,7,REVERSE,PET-G,9.00,1120.00
C06657 AL FOIL EP 8GR 6UP                         ,,7,REVERSE,PET-G,9.00,960.00
WOODS LEMON ZIPLOCK-CH0285                        ,,8,SURFACE,PET,12.00,940.00
6028666 ROLL INNER TERASI MAMA SUKA 4GR SELOK REV ,,7,REVERSE,OPP - G,20.00,1150.00
6031545 ROLL TPG BUMBU KRISPI SERBAGUNA 70GR      ,,8,REVERSE,PET,12.00,1120.00
AL.FOIL INDOCAFE CMIX RICH&STRONG 27GR (L-0)      ,,8,REVERSE,OPP-G,20.00,1170.00
C06658 AL FOIL EP 8GR 12UP                        ,,7,REVERSE,PET-G,9.00,960.00
ROLL MADU TJ ORIGINAL MULTILINE ND                ,,7,REVERSE,PET-G,12.00,990.00
ROLL CUCU POP EXOTIC 9G                           ,,5,REVERSE,OPP - G,20.00,900.00
68411996 ROLL ROYCO BEEF 9G 6L BVI ALU6 2000M     ,,4,REVERSE,PET-G,9.00,985.00
1FE001000 FOIL EXTRA JOSS ACTIVE EXP              ,,7,REVERSE,PET-G,12.00,760.00
14011346/23010439-STP SKPL APPLE 70ML 20          ,,6,REVERSE,PET-G,12.00,1110.00
14011349/23010441-STP SKPL ROSE 70ML 20           ,,6,REVERSE,PET-G,12.00,1110.00
ALU M+SUSU ORI 15MIC 1018 NEW SOSMED              ,,5,REVERSE,PET,12.00,880.00
BAG BERAS CAP DAUN HJ SENDOK MAS 5KG NEW SIZE     ,,3,REVERSE,NY-01,15.00,950.00
CHLT-K-019-BA-RL-001(CHLT BLACK ENDLESS)          ,,1,REVERSE,PET-G,12.00,1070.00
CHLT-K-019-RE-RL-001(CHLT RED ENDLESS)            ,,1,REVERSE,PET-G,12.00,1070.00
BAG BERAS SLYP RANTE MAS 5KG NEW SIZE             ,,4,REVERSE,NY-01,15.00,950.00
STD POUCH BBQ 310GR                               ,,6,REVERSE,PET-G,12.00,1020.00
BAG BERAS BUNGA PANDAN 5KG                        ,,6,REVERSE,NY-01,15.00,950.00
44081003 MILO POLYBAG 4 X 22G                     ,,7,REVERSE,OPP,20.00,930.00
68558392 ROLL ROYCO CHICKEN 8G PICO 2000M         ,,4,REVERSE,PET-G,9.00,985.00
ROLL ROCKET CHICKEN CHILI 6 LINE 1500M            ,,5,REVERSE,PET-G,12.00,990.00
68504800 ROLL LIPTON CHAI LATTE VANILLA 23G       ,,7,REVERSE,PET-G,12.00,1050.00
SG CHICKEN NUGGET VEGETABLES 500G - PCS1NV500     ,,8,REVERSE,NY-01,15.00,960.00
STD PCH SHILOW PEMBERSIH PIRING 400ML             ,,7,REVERSE,NY-01,15.00,970.00
STD PCH SHILLOW DETERGEN CAIR 400ML               ,,7,REVERSE,NY-01,15.00,970.00
MA 9GR KARAWANG - 122002537                       ,,7,REVERSE,OPP-G,18.00,1130.00
6028799 ROLL BB SOP 5GR                           ,,7,REVERSE,PET-G,12.00,990.00
2000140 FOX'S CHERRY MINTS 2.5G                   ,,5,REVERSE,PET,12.00,930.00
2000139 FOX'S BARLEY MINTS 2.5G                   ,,5,REVERSE,PET-G,12.00,930.00
6027650 STD POUCH MAYONAISE 1KG                   ,,8,REVERSE,NY-01,15.00,1120.00
FRESHGO LOVELY YELLOW INNER BAG 8C                ,,8,REVERSE,PET-G,12.00,930.00
MAGIC VANILLA IM1 31 DES 2023                     ,,5,REVERSE,OPP - G,20.00,960.00
14009806/23010279-ROL RAPIKA 400 PINK-R2          ,,8,REVERSE,PET-G,12.00,990.00
6027651 STD POUCH SALAD DRESSING 1KG              ,,8,REVERSE,NY-01,15.00,1120.00
14010329/23010364-STP RPK SKR STRW 400ML          ,,8,REVERSE,PET-G,12.00,840.00
6027579 STD POUCH KOPI GINSENG ND                 ,,8,REVERSE,PET-G,12.00,1120.00
JOLIN 450ML STD. POUCH                            ,,6,REVERSE,NY-01,15.00,1080.00
BAG FROZEN PERFECTIO SOSIS VAKUM 500 GR KOMBINASI ,,6,REVERSE,NY-01,15.00,1010.00
PF POLYBAG ASLI 9G (3000M - NEW MD) - 421001411   ,,7,REVERSE,OPP,20.00,1110.00
15002677 BAG SOGOOD CHICKEN SAUSAGE GARLIC 300G   ,,8,REVERSE,NY-01,15.00,840.00
68415395 WRP PP CHOCO MAGMA 50ML RL2              ,,6,SURFACE,OPP PEARLIZE,30.00,970.00
6031631 STP SAUS TOPOKKI 100GR ORIGINAL           ,,7,REVERSE,NY-01,15.00,770.00
OATBITS STRAWBERRY & YOGHURT 110GR NEW*           ,,7,REVERSE,OPP,20.00,1060.00
BAG RELAXA PLAY SPIDERMAN 40GR                    ,,8,REVERSE,PET-G,12.00,1175.00
BAG RELAXA PLAY AVENGER 40GR                      ,,8,REVERSE,PET-G,12.00,1170.00
POLYROLL PFESE001                                 ,,8,REVERSE,PET,12.00,925.00
PM00012016 BAG WIP MYB 75 AB ROLL                 ,,7,REVERSE,OPP - G,20.00,960.00
PB-051802 STP SAUS TOMAT DUA BELIBIS 1KG NEW      ,,6,REVERSE,PET-G,12.00,1120.00
DAHLIA K31 FLORAL (BAG K31 FL)                    ,,8,REVERSE,PET-G,12.00,1050.00
LID 240 CHEERS NATURAL INDOTIRTA (ISA) JKT QR CODE,,5,REVERSE,PET-G,12.00,1120.00
TEPUNG TAPIOKA BOLA DELI 500GR QR CODE            ,,7,REVERSE,PET-G,12.00,1050.00
STD POUCH KALISERAYOE 900 ML                      ,,8,REVERSE,NY-01,15.00,1040.00
STD POUCH KALISERAYOE 2 L                         ,,8,REVERSE,PET-G,12.00,1240.00
2000339 KRIZZI STRAWBERRY 55G                     ,,8,REVERSE,PET,12.00,1070.00
2000318 KRIZZI COKLAT 55G                         ,,8,REVERSE,PET,12.00,1070.00
P0004444 P.ROLL GOYA CHOCO KRESS 10GR             ,,7,REVERSE,PET-G,12.00,1080.00
"STD POUCH KALISERAYOE 1,8 L                       ",,8,REVERSE,PET-G,12.00,1195.00
